OBJECTID,District,Total_population,Age_under_5,Age_under_18,age_18-34,Age_35-49,Age_50-64,Age_65-,No_of_households,Households_with_children,Single_parent_households,VacHU_00,Owner_households,Rental_households,pAgesU18_00,%_White,&_Black,%_Asian,%_Other,%_Hispanic,avg_household_size,Education_<highschool,Education_BA<,Poverty_rate,Shape__Area,Shape__Length
1,Fulton County: N Fulton,112940,10038,35105,22693,35441,14278,5423,40061,19079,2069,1844,31391,8670,31.1,81.5,5.5,7.8,1.7,3.5,3,2657,44160,3.3,2719953098.05664,335723.366672624
2,Fulton County: Roswell,93030,6614,23586,22975,25461,14594,6414,34943,13280,2326,1218,24162,10781,25.4,75.2,8.0,4.3,1.8,10.7,3,4494,33276,4.8,1182560413.79199,213626.086769852
3,Fulton County: Sandy Springs,85874,4690,15317,30265,19127,12761,8404,39314,8835,1936,3507,17961,21352,17.8,73.1,11.8,3.3,2.0,9.9,2,3773,37425,6.5,1084373926.42896,212756.509391943
4,Fulton County: Buckhead,66747,3339,10038,21771,15190,10237,9511,33915,5573,698,4044,17720,16195,15.0,83.5,5.6,2.6,1.2,7.1,2,2753,35667,7.3,758106621.036621,133450.584012371
5,Fulton County: NW Atlanta,70776,5239,18904,21223,14814,8427,7408,26246,8763,5023,3512,10607,15639,26.7,13.3,81.5,0.7,1.0,3.4,3,13828,8332,33.1,736386514.614258,132053.671315985
6,Fulton County: NE Atlanta,64698,2180,6358,33117,14957,6446,3819,30519,3546,1230,3566,11351,19167,9.8,64.8,23.6,5.2,1.9,4.6,2,4883,25369,15.6,336320494.95874,93390.9135716191
7,Fulton County: SW Atlanta,97505,6934,25319,27618,19819,14596,10152,35813,13340,7060,3128,16281,19533,26.0,1.8,95.1,0.2,1.1,1.9,3,14724,10926,25.1,1172799879.72656,197102.222058802
8,Fulton County: CBD Atlanta,10484,632,1819,3665,2837,1280,883,4169,776,565,508,456,3713,17.4,17.1,75.7,2.0,1.8,3.4,2,2739,1390,47.4,50747216.668457,42052.2960275754
9,Fulton County: SE Atlanta,80962,6911,25143,22533,17740,9521,6025,27136,11475,6580,2852,10968,16168,31.1,12.1,77.7,2.2,1.4,6.6,3,17587,5684,36.0,698398456.802979,120945.226087703
10,Fulton County: S Fulton,19076,1128,4779,3760,4641,3938,1958,6905,2592,663,372,5752,1153,25.1,34.7,61.0,0.3,1.4,2.6,3,2089,3553,7.8,3728518935.14526,404085.667259763
11,Fulton County: Tri-Cities,66441,5659,19371,19640,14656,7809,4965,24875,9871,5161,1764,9643,15231,29.2,14.8,74.1,1.3,1.4,8.3,3,9531,6651,20.8,658173527.696533,149680.132978809
12,Fulton County: Shannon,47481,3457,13553,11876,11361,6662,4029,17348,7399,2885,922,10829,6519,28.5,17.8,75.9,0.7,1.5,4.1,3,5312,5975,9.4,1767100880.92847,207898.583382477
13,Cherokee County: W Cherokee,8784,558,2092,2209,2070,1588,825,3093,1155,186,267,2650,444,23.8,95.4,0.7,0.4,1.2,2.4,3,1429,1211,6.5,3684424456.74487,339777.376683142
14,Cherokee County: N Cherokee,5249,366,1366,1158,1265,933,527,1890,742,83,104,1649,241,26.0,97.6,0.9,0.1,0.6,0.8,3,1143,485,6.7,1933584373.71924,252524.08951256
15,Cherokee County: E Cent Cherokee,53511,4282,14733,12290,14368,7844,4276,18633,8062,1193,832,15416,3216,27.5,90.2,2.0,0.4,1.2,6.2,3,6474,8121,6.4,4693888828.91235,387822.581727614
16,Cherokee County: Woodstock,74370,6465,21920,17843,21215,9666,3726,25884,11985,1863,1226,21789,4095,29.5,88.6,3.1,1.2,1.6,5.5,3,5141,14777,4.3,1796427521.82715,272047.884342929
