SalesKey	Region	Month	Median price	Year	MonthNo
0	Adair Park	January	27000	2012	1
1	Adams Park	January	28000	2012	1
2	Adamsville	January	11000	2012	1
3	Almond Park	January	14000	2012	1
4	Ansley Park	January	470000	2012	1
5	Arden-Habersham	January	null	2012	1
6	Ardmore	January	275000	2012	1
7	Argonne Forest	January	251000	2012	1
8	Arlington Estates	January	13000	2012	1
9	Ashview Heights	January	17000	2012	1
10	Atkins Park	January	179000	2012	1
11	Atlanta University Center	January	28000	2012	1
12	Atlantic Station	January	100000	2012	1
13	Audobon Forest	January	154000	2012	1
14	Audobon Forest West	January	54000	2012	1
15	Baker Hills	January	20000	2012	1
16	Bakers Ferry	January	null	2012	1
17	Bankhead	January	15000	2012	1
18	Bankhead-Bolton	January	null	2012	1
19	Beecher Hills	January	29000	2012	1
20	Ben Hill	January	47000	2012	1
21	Ben Hill Forest	January	null	2012	1
22	Ben Hill Terrace	January	null	2012	1
23	Benteen Park	January	127000	2012	1
24	Berkeley Park	January	175000	2012	1
25	Betmar Lavilla	January	33000	2012	1
26	Blair Villa-Poole Creek	January	13000	2012	1
27	Blandtown	January	145000	2012	1
28	Bolton	January	123000	2012	1
29	Bolton Hills	January	null	2012	1
30	Boulder Park	January	null	2012	1
31	Boulevard Heights	January	49000	2012	1
32	Brandon	January	771000	2012	1
33	Brentwood	January	null	2012	1
34	Brookview Heights	January	null	2012	1
35	Brookwood	January	77000	2012	1
36	Brookwood Hills	January	675000	2012	1
37	Brookwood Hills Conservation District	January	675000	2012	1
38	Browns Mill Park	January	44000	2012	1
39	Buckhead	January	262000	2012	1
40	Buckhead Forest	January	179000	2012	1
41	Buckhead Heights	January	185000	2012	1
42	Bush Mountain	January	9000	2012	1
43	Cabbagetown	January	172000	2012	1
44	Campbellton Road	January	16000	2012	1
45	Candler Park	January	375000	2012	1
46	Capitol View	January	46000	2012	1
47	Capitol View Manor	January	8000	2012	1
48	Carey Park	January	14000	2012	1
49	Carroll Heights	January	10000	2012	1
50	Carver Hills	January	12000	2012	1
51	Cascade Avenue	January	16000	2012	1
52	Cascade Heights	January	42000	2012	1
53	Castleberry Hill	January	70000	2012	1
54	Castleberry Hill Landmark District	January	70000	2012	1
55	Castlewood	January	null	2012	1
56	Centennial Hill	January	99000	2012	1
57	Center Hill	January	29000	2012	1
58	Channing Valley	January	null	2012	1
59	Chastain Park	January	840000	2012	1
60	Chosewood Park	January	40000	2012	1
61	Collier Heights	January	31000	2012	1
