,datetime,description,temperature (C)
0,2012-10-01,light rain,21.150000000000034
1,2012-10-02,overcast clouds,21.201278451000007
2,2012-10-03,broken clouds,18.450000000000045
3,2012-10-04,mist,14.510000000000048
4,2012-10-05,fog,13.379999999999995
5,2012-10-06,fog,13.629999999999995
6,2012-10-07,mist,14.200000000000045
7,2012-10-08,few clouds,11.920000000000016
8,2012-10-09,overcast clouds,12.240000000000009
9,2012-10-10,mist,11.260000000000048
10,2012-10-11,mist,9.960000000000036
11,2012-10-12,fog,8.590000000000032
12,2012-10-13,overcast clouds,15.28000000000003
13,2012-10-14,sky is clear,14.910000000000025
14,2012-10-15,overcast clouds,15.370000000000005
15,2012-10-16,mist,18.450000000000045
16,2012-10-17,sky is clear,8.340000000000032
17,2012-10-18,sky is clear,10.090000000000032
18,2012-10-19,mist,13.840000000000032
19,2012-10-20,sky is clear,7.57000000000005
20,2012-10-21,sky is clear,7.9375
21,2012-10-22,sky is clear,8.807500000000005
22,2012-10-23,sky is clear,8.210000000000036
23,2012-10-24,mist,9.950000000000045
24,2012-10-25,mist,10.050000000000011
25,2012-10-26,sky is clear,11.970000000000027
26,2012-10-27,sky is clear,14.830000000000041
27,2012-10-28,mist,14.490000000000009
28,2012-10-29,overcast clouds,10.350000000000023
29,2012-10-30,broken clouds,6.710000000000036
30,2012-10-31,sky is clear,5.260000000000048
31,2012-11-01,sky is clear,2.82000000000005
32,2012-11-02,sky is clear,1.9500000000000455
33,2012-11-03,sky is clear,4.730000000000018
34,2012-11-04,sky is clear,6.160000000000025
35,2012-11-05,sky is clear,11.860000000000014
36,2012-11-06,sky is clear,6.210000000000036
37,2012-11-07,heavy intensity rain,8.910000000000025
38,2012-11-08,mist,7.180000000000007
39,2012-11-09,few clouds,2.9600000000000364
40,2012-11-10,mist,1.3400000000000318
41,2012-11-11,sky is clear,2.1100000000000136
42,2012-11-12,sky is clear,8.430000000000007
43,2012-11-13,mist,13.930000000000007
44,2012-11-14,sky is clear,1.6899999999999977
45,2012-11-15,sky is clear,5.430000000000007
46,2012-11-16,light rain,5.770000000000039
47,2012-11-17,fog,2.7600000000000477
48,2012-11-18,mist,1.8500000000000227
49,2012-11-19,broken clouds,5.1200000000000045
50,2012-11-20,sky is clear,4.560000000000002
51,2012-11-21,broken clouds,9.400000000000034
52,2012-11-22,sky is clear,5.75
53,2012-11-23,mist,3.8700000000000045
54,2012-11-24,sky is clear,3.680000000000007
55,2012-11-25,sky is clear,2.32000000000005
56,2012-11-26,sky is clear,-2.089999999999975
57,2012-11-27,sky is clear,-0.6099999999999568
58,2012-11-28,mist,11.860000000000014
59,2012-11-29,mist,3.180000000000007
60,2012-11-30,sky is clear,2.4600000000000364
61,2012-12-01,overcast clouds,5.28000000000003
62,2012-12-02,mist,4.910000000000025
63,2012-12-03,mist,7.689999999999998
64,2012-12-04,sky is clear,6.390000000000043
65,2012-12-05,sky is clear,8.03000000000003
66,2012-12-06,overcast clouds,13.460000000000036
67,2012-12-07,overcast clouds,13.629999999999995
68,2012-12-08,overcast clouds,8.800000000000011
69,2012-12-09,sky is clear,12.03000000000003
70,2012-12-10,light intensity drizzle,14.160000000000025
71,2012-12-11,overcast clouds,16.700000000000045
72,2012-12-12,scattered clouds,2.6100000000000136
73,2012-12-13,sky is clear,2.480000000000018
74,2012-12-14,sky is clear,4.730000000000018
75,2012-12-15,mist,0.1400000000000432
76,2012-12-16,few clouds,6.8700000000000045
77,2012-12-17,broken clouds,11.670000000000016
78,2012-12-18,mist,11.730000000000018
79,2012-12-19,sky is clear,7.210000000000036
80,2012-12-20,sky is clear,1.1299999999999955
81,2012-12-21,heavy intensity rain,11.03000000000003
82,2012-12-22,sky is clear,0.5100000000000477
83,2012-12-23,sky is clear,-1.2899999999999636
84,2012-12-24,sky is clear,-1.6899999999999977
85,2012-12-25,light rain,8.79000000000002
86,2012-12-26,moderate rain,9.689999999999998
87,2012-12-27,moderate rain,11.939999999999998
88,2012-12-28,overcast clouds,1.32000000000005
89,2012-12-29,overcast clouds,-0.6499999999999773
90,2012-12-30,light intensity drizzle,4.740000000000009
91,2012-12-31,sky is clear,-1.4899999999999523
92,2013-01-01,sky is clear,-0.9699999999999704
93,2013-01-02,overcast clouds,9.200000000000045
94,2013-01-03,light rain,7.840000000000032
95,2013-01-04,sky is clear,2.900000000000034
96,2013-01-05,sky is clear,-1.6749999999999545
97,2013-01-06,sky is clear,-2.2299999999999613
98,2013-01-07,overcast clouds,4.7900000000000205
99,2013-01-08,sky is clear,-0.44999999999998863
100,2013-01-09,overcast clouds,5.15500000000003
101,2013-01-10,overcast clouds,12.128800000000012
102,2013-01-11,mist,14.650000000000034
103,2013-01-12,light rain,17.32000000000005
104,2013-01-13,mist,16.650000000000034
105,2013-01-14,overcast clouds,16.850000000000023
106,2013-01-15,mist,16.33000000000004
107,2013-01-16,moderate rain,9.439999999999998
108,2013-01-17,sky is clear,15.960000000000036
109,2013-01-18,heavy intensity rain,9.870000000000005
110,2013-01-19,mist,-0.37000000000000455
111,2013-01-20,sky is clear,-0.6749999999999545
112,2013-01-21,mist,-0.3100000000000023
113,2013-01-22,sky is clear,2.4950000000000045
114,2013-01-23,sky is clear,-1.9099999999999682
115,2013-01-24,broken clouds,-1.8949999999999818
116,2013-01-25,broken clouds,8.420000000000016
117,2013-01-26,overcast clouds,0.42500000000001137
118,2013-01-27,broken clouds,3.1650000000000205
119,2013-01-28,overcast clouds,4.7000000000000455
120,2013-01-29,overcast clouds,12.6995
121,2013-01-30,fog,8.870000000000005
122,2013-01-31,overcast clouds,18.825000000000045
123,2013-02-01,sky is clear,1.4600000000000364
124,2013-02-02,sky is clear,-1.6999999999999886
125,2013-02-03,sky is clear,3.730000000000018
126,2013-02-04,sky is clear,6.03000000000003
127,2013-02-05,overcast clouds,4.270000000000039
128,2013-02-06,overcast clouds,7.050000000000011
129,2013-02-07,overcast clouds,6.760000000000048
130,2013-02-08,overcast clouds,8.170000000000016
131,2013-02-09,broken clouds,7.814999999999998
132,2013-02-10,sky is clear,2.2350000000000136
133,2013-02-11,sky is clear,7.064999999999998
134,2013-02-12,overcast clouds,12.093333333000032
135,2013-02-13,broken clouds,7.560000000000002
136,2013-02-14,light intensity drizzle,6.860000000000014
137,2013-02-15,overcast clouds,3.3250000000000455
138,2013-02-16,sky is clear,0.75
139,2013-02-17,broken clouds,2.8799999999999955
140,2013-02-18,sky is clear,-4.919999999999959
141,2013-02-19,sky is clear,-3.1200000000000045
142,2013-02-20,overcast clouds,4.760000000000048
143,2013-02-21,sky is clear,-0.5600000000000023
144,2013-02-22,sky is clear,-0.5299999999999727
145,2013-02-23,light intensity drizzle,6.110000000000014
146,2013-02-24,light intensity drizzle,5.990000000000009
147,2013-02-25,fog,3.7100000000000364
148,2013-02-26,broken clouds,7.25
149,2013-02-27,light rain,3.240000000000009
150,2013-02-28,overcast clouds,5.189999999999998
151,2013-03-01,sky is clear,2.150000000000034
152,2013-03-02,overcast clouds,1.9800000000000182
153,2013-03-03,overcast clouds,1.0400000000000205
154,2013-03-04,broken clouds,-0.5449999999999591
155,2013-03-05,scattered clouds,-1.4149999999999636
156,2013-03-06,overcast clouds,10.575000000000045
157,2013-03-07,scattered clouds,0.39500000000003865
158,2013-03-08,sky is clear,-0.5099999999999909
159,2013-03-09,sky is clear,-1.3999999999999773
160,2013-03-10,sky is clear,4.689999999999998
161,2013-03-11,sky is clear,9.680000000000007
162,2013-03-12,overcast clouds,12.976666667000018
163,2013-03-13,overcast clouds,3.740000000000009
164,2013-03-14,sky is clear,2.07000000000005
165,2013-03-15,sky is clear,-1.6899999999999977
