,ID Race,Race,ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
0,0,Total,2019,2019,65712,118.0,United States,01000US,united-states
1,1,White,2019,2019,69823,164.0,United States,01000US,united-states
2,2,Black,2019,2019,43862,335.0,United States,01000US,united-states
3,3,Native American,2019,2019,45476,958.0,United States,01000US,united-states
4,4,Asian,2019,2019,93759,941.9999999999999,United States,01000US,united-states
5,5,Pacific Islander,2019,2019,66464,2470.0,United States,01000US,united-states
6,6,Other,2019,2019,53097,535.0,United States,01000US,united-states
7,7,Two Or More,2019,2019,62085,580.0,United States,01000US,united-states
8,8,White Non-Hispanic,2019,2019,71664,127.0,United States,01000US,united-states
9,9,Hispanic,2019,2019,55658,279.0,United States,01000US,united-states
10,0,Total,2019,2019,61980,437.00000000000006,Georgia,04000US13,georgia
11,1,White,2019,2019,70832,592.0,Georgia,04000US13,georgia
12,2,Black,2019,2019,47096,1177.0,Georgia,04000US13,georgia
13,3,Native American,2019,2019,35588,10886.0,Georgia,04000US13,georgia
14,4,Asian,2019,2019,82158,5631.0,Georgia,04000US13,georgia
15,5,Pacific Islander,2019,2019,62271,19065.0,Georgia,04000US13,georgia
16,6,Other,2019,2019,48103,3797.9999999999995,Georgia,04000US13,georgia
17,7,Two Or More,2019,2019,57721,4334.0,Georgia,04000US13,georgia
18,8,White Non-Hispanic,2019,2019,71790,611.0,Georgia,04000US13,georgia
19,9,Hispanic,2019,2019,52661,2061.0,Georgia,04000US13,georgia
20,0,Total,2019,2019,63652,3193.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
21,0,Total,2019,2019,80013,2733.0,"Fulton County, GA",05000US13121,fulton-county-ga
22,1,White,2019,2019,96693,4361.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
23,1,White,2019,2019,116360,6286.0,"Fulton County, GA",05000US13121,fulton-county-ga
24,2,Black,2019,2019,51484,2742.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
25,2,Black,2019,2019,49822,3465.0000000000005,"Fulton County, GA",05000US13121,fulton-county-ga
26,3,Native American,2019,2019,27944,12803.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
27,3,Native American,2019,2019,62086,40553.0,"Fulton County, GA",05000US13121,fulton-county-ga
28,4,Asian,2019,2019,55401,25243.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
29,4,Asian,2019,2019,111623,16731.0,"Fulton County, GA",05000US13121,fulton-county-ga
30,5,Pacific Islander,2019,2019,70047,67340.0,"Fulton County, GA",05000US13121,fulton-county-ga
31,6,Other,2019,2019,52053,18758.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
32,6,Other,2019,2019,56561,17526.0,"Fulton County, GA",05000US13121,fulton-county-ga
33,7,Two Or More,2019,2019,55747,20504.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
34,7,Two Or More,2019,2019,79784,27947.0,"Fulton County, GA",05000US13121,fulton-county-ga
35,8,White Non-Hispanic,2019,2019,99394,4832.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
36,8,White Non-Hispanic,2019,2019,118708,5366.0,"Fulton County, GA",05000US13121,fulton-county-ga
37,9,Hispanic,2019,2019,45456,7209.000000000001,"DeKalb County, GA",05000US13089,dekalb-county-ga
38,9,Hispanic,2019,2019,66808,9653.0,"Fulton County, GA",05000US13121,fulton-county-ga
39,0,Total,2019,2019,66657,4678.0,"Atlanta, GA",16000US1304000,atlanta-ga
40,1,White,2019,2019,112690,6832.0,"Atlanta, GA",16000US1304000,atlanta-ga
